Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/04  06:00:00,12275035.148553042,12275035.148553044,11505142.288994085 
 01/04  07:00:00,16805580.146253243,16805580.146253243,12037014.047872018 
 01/04  08:00:00,12826439.443384573,12826439.443384573,12152708.474194944 
 01/04  09:00:00,10143201.278544359,10143201.278544359,11984074.269818967 
 01/04  10:00:00,11050661.23517704,11050661.23517704,12924438.914121635 
 01/04  11:00:00,9248745.164624516,9248745.164624514,14187636.678641295 
 01/04  12:00:00,9287245.942734737,9287245.942734735,15457287.735499527 
 01/04  13:00:00,9216861.239984162,9216861.239984162,15580234.767451683 
 01/04  14:00:00,8157085.202949357,8157085.202949357,15744099.906210944 
 01/04  15:00:00,8102061.896760614,8102061.896760612,15863025.324657178 
 01/04  16:00:00,8362830.9838351365,8362830.9838351365,16171676.963625263 
 01/04  17:00:00,12762578.215163961,12762578.215163961,16045013.629788976 
 01/04  18:00:00,17357751.1891746,17357751.189174596,15517577.284611234 
 01/04  19:00:00,18391879.40422654,18391879.40422654,16526467.465864673 
 01/04  20:00:00,18302846.19786314,18302846.19786314,17304491.499841347 
 01/04  21:00:00,18066437.63305544,18066437.633055437,17765806.509426937 
 01/04  22:00:00,16593751.104409745,16593751.104409745,18051385.932008103 
 01/04  23:00:00,15697460.402627014,15697460.402627012,19491248.416179083 
 01/04  24:00:00,13050643.425863666,13050643.425863666,20160934.49513128 
 01/05  01:00:00,11228883.892515322,11228883.892515322,21192841.31851533 
 01/05  02:00:00,10823870.68340937,10823870.68340937,22103463.53150797 
 01/05  03:00:00,10468124.964357048,10468124.964357048,22702949.886809375 
 01/05  04:00:00,11272424.889845854,11272424.889845854,22179480.283240233 
 01/05  05:00:00,10528371.175125716,10528371.175125716,22019208.994250663 
 01/05  06:00:00,12796279.204453154,12796279.204453155,22628908.52272267 
 01/05  07:00:00,17290948.288685646,17290948.288685646,22383731.496374227 
 01/05  08:00:00,13269903.216763627,13269903.216763627,21604811.911045756 
