dataset,forecast_algo,rmse,mae,mape,source_dir,selected_lags,param_trend_order,param_fourier_order,param_use_weekly,param_xgb_depth,param_xgb_n_estimators,param_xgb_lr,param_alpha,param_lasso_alpha,param_mlp_hidden,param_mlp_lr,param_hidden_layer_sizes,param_C,param_max_depth,param_n_estimators,param_learning_rate,param_eta0,param_kernel,param_n_neighbors,param_knn_neighbors
LUCID_2,SARIMAX,18.222160794488666,4.214120017704918,0.4940434535824741,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,,,,,,,
LUCID_2,SGD,20.41886508794276,3.844797773356253,0.4310785017078144,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SGD,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,,,invscaling,0.001,,,
LUCID_2,SVR,18.09973679545296,2.2159933824836573,0.17614395101574415,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SVR,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,10.0,,,,,rbf,,
LUCID_2,XGB,18.09892773055883,1.9115015227118664,0.1327828393876499,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_XGB,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,4.0,100.0,0.2,,,,
LUCID_3,ARIMA,3641.511253818427,2084.2987906110657,0.7995948025275385,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,,,,,,,
LUCID_3,HybridKNNMLP,3616.9734106257024,2082.6079050352228,2.0143604756255353,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,"64,32,128,64",0.001,,,,,,,,,7.0
LUCID_3,HybridLRXGB,3643.9460124978145,2087.8149067407808,0.8864978165662307,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,5.0,200.0,0.2,,,,,,,,,,,,,
LUCID_3,HybridLassoMLP,3591.560248917154,2068.5270305522818,2.0048582946295457,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,10.0,"64,32,128,64",0.001,,,,,,,,,
LUCID_3,HybridLassoXGB,3643.5119241630755,2086.727927128276,0.802794072393436,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,5.0,200.0,0.1,,10.0,,,,,,,,,,,
LUCID_3,KNN,3642.353724758472,2085.0678725782786,0.7500672359894894,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_KNN,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,,,,,,3.0,
LUCID_3,LR,3034.0826461473584,1821.2036037860887,6.862173449500271,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LR,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,,,,,,,
LUCID_3,LSVR,2163.0285225657335,1331.8216315341558,10.575534093681636,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LSVR,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,1.0,,,,,,,
LUCID_3,Lasso,2690.537615857916,1520.3779159618005,4.105110088641526,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_Lasso,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,1.0,,,,,,,,,,,,
LUCID_3,MLP,4381.6678489954775,2888.260465589105,39.36210058056566,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_MLP,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
LUCID_3,SARIMAX,3641.511253818427,2084.2987906110657,0.7995948025275385,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,,,,,,,
LUCID_3,SGD,2364.0801060550075,1511.8363326072192,11.137383995801903,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SGD,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,,,constant,0.01,,,
LUCID_3,SVR,2209.673976112004,1332.42971958239,9.238868851804344,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SVR,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,0.1,,,,,linear,,
LUCID_3,XGB,3640.402946808493,2083.0389526573754,0.7566443853623922,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_XGB,"1,2,3,4,5,6,7,8,9,11,13,14,17,18,20,22",2,9,True,,,,,,,,,,6.0,50.0,0.5,,,,
