Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/22  02:00:00,21339952.429521166,21339952.429521166,13187284.09812 
 08/22  03:00:00,17724315.02706805,17724315.02706805,9928834.732080001 
 08/22  04:00:00,28897435.18854358,28897435.18854358,19704182.8302 
 08/22  05:00:00,28059857.91516257,28059857.91516257,19704182.8302 
 08/22  06:00:00,26500855.919822767,26500855.919822775,19704182.8302 
 08/22  07:00:00,28825909.566285692,28825909.566285692,19704182.8302 
 08/22  08:00:00,27351622.079614554,27351622.079614557,19704182.8302 
 08/22  09:00:00,26411406.491921265,26411406.49192126,19704182.8302 
 08/22  10:00:00,44774330.06655526,44774330.06655526,19704182.8302 
 08/22  11:00:00,91212533.99306014,91212533.99306016,71729867.67113672 
 08/22  12:00:00,109944314.01807947,109944314.01807947,101560308.37416936 
 08/22  13:00:00,119930237.61332864,119930237.61332865,93087529.33066995 
 08/22  14:00:00,131680355.55682,131680355.55682002,108519938.4849444 
 08/22  15:00:00,138456368.11113277,138456368.11113274,108987537.81046242 
 08/22  16:00:00,144693205.3549535,144693205.35495353,124426699.76188006 
 08/22  17:00:00,136527083.93314978,136527083.9331498,127256701.85582036 
 08/22  18:00:00,137712915.12873843,137712915.12873843,139475609.2903993 
 08/22  19:00:00,139369498.0838569,139369498.08385694,135182812.06841776 
 08/22  20:00:00,119190234.53738673,119190234.53738675,117389460.71620764 
 08/22  21:00:00,108605961.56474015,108605961.56474015,122131201.01528606 
 08/22  22:00:00,72665568.41422802,72665568.41422802,69926128.73584509 
 08/22  23:00:00,52541007.598315276,52541007.598315276,43392032.30322759 
 08/22  24:00:00,44752743.07386233,44752743.07386233,35691601.51268782 
 08/23  01:00:00,15402195.018244658,15402195.018244658,9928834.732080001 
 08/23  02:00:00,20197197.548846263,20197197.548846267,13187284.09812 
 08/23  03:00:00,17431820.251976453,17431820.251976453,9928834.732080001 
 08/23  04:00:00,28393916.21801975,28393916.21801975,19704182.8302 
 08/23  05:00:00,27770216.987615842,27770216.987615842,19704182.8302 
 08/23  06:00:00,26044654.52311733,26044654.52311733,19704182.8302 
 08/23  07:00:00,28102330.8956793,28102330.895679295,19704182.8302 
 08/23  08:00:00,26842355.79187296,26842355.79187296,19704182.8302 
 08/23  09:00:00,26021547.242990475,26021547.242990475,19704182.8302 
 08/23  10:00:00,55118275.630868986,55118275.630869,19704182.8302 
 08/23  11:00:00,84423005.11208558,84423005.1120856,42513328.39248 
 08/23  12:00:00,111022328.19595285,111022328.19595286,64352267.460301206 
 08/23  13:00:00,119517094.91146591,119517094.91146591,98727120.6824457 
 08/23  14:00:00,123185853.69276763,123185853.69276765,88669870.82825564 
 08/23  15:00:00,129353311.71689403,129353311.71689403,106697296.74541229 
 08/23  16:00:00,149084033.0075739,149084033.00757393,115304726.03355534 
 08/23  17:00:00,158746125.67604887,158746125.67604887,125265492.51161946 
 08/23  18:00:00,151748982.17573035,151748982.17573035,137911496.3155455 
