,trend,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_12,lag_13,lag_14,lag_15,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763049662.6784681,1131642124.4885027,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,1013422769.7279261,1195490918.539927,1271000391.4489157,382060960.3821359,426729764.8157652,1506029510.5700777,0,0
2004-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789892301.7635626,763049662.6784681,1131642124.4885027,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,1065303132.1490401,1179881660.8699398,1260067470.1095338,306251435.0305437,763049662.6784681,1506029510.5700777,0,0
2004-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129856987.653697,789892301.7635626,763049662.6784681,1131642124.4885027,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,1115029273.6483316,1162511968.2514672,1272133776.0698776,279645386.92865777,763049662.6784681,1506029510.5700777,0,0
2004-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463922471.7826347,1129856987.653697,789892301.7635626,763049662.6784681,1131642124.4885027,1506029510.5700777,1406377297.4661944,1078357030.9178183,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1170110050.914734,1128090279.9348552,1295137673.1579032,307775248.28205174,763049662.6784681,1506029510.5700777,0,0
2004-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447970138.2768347,1463922471.7826347,1129856987.653697,789892301.7635626,763049662.6784681,1131642124.4885027,1506029510.5700777,1406377297.4661944,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,1176051885.316254,1111195234.14863,1305745482.9532058,313446034.51363885,763049662.6784681,1506029510.5700777,0,0
2004-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428764907.318199,1447970138.2768347,1463922471.7826347,1129856987.653697,789892301.7635626,763049662.6784681,1131642124.4885027,1506029510.5700777,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1165014084.8516998,1095023290.7133965,1304607557.4223263,301002853.3534433,763049662.6784681,1463922471.7826347,1,0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096142005.863825,1428764907.318199,1447970138.2768347,1463922471.7826347,1129856987.653697,789892301.7635626,763049662.6784681,1131642124.4885027,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1159942639.3338888,1089006962.045356,1292987927.144548,301956383.43134797,763049662.6784681,1463922471.7826347,0,0
2004-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786993893.7749121,1096142005.863825,1428764907.318199,1447970138.2768347,1463922471.7826347,1129856987.653697,789892301.7635626,763049662.6784681,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1163363243.776238,1088393006.752082,1268183125.9593482,296802620.4741664,786993893.7749121,1463922471.7826347,0,0
2004-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810993945.3811642,786993893.7749121,1096142005.863825,1428764907.318199,1447970138.2768347,1463922471.7826347,1129856987.653697,789892301.7635626,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,1166377764.2930381,1115840448.221039,1254899120.3894403,292452486.0861932,786993893.7749121,1463922471.7826347,0,0
2004-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116098507.192355,810993945.3811642,786993893.7749121,1096142005.863825,1428764907.318199,1447970138.2768347,1463922471.7826347,1129856987.653697,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,1164412267.0842748,1139720770.3663032,1262959833.6757355,292784885.2033641,786993893.7749121,1463922471.7826347,0,0
