Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 03/24  01:00:00,11072033.123180706,11072033.123180706,7516931.3178192945 
 03/24  02:00:00,11883850.964785282,11883850.964785282,8048162.351533692 
 03/24  03:00:00,10995227.952142851,10995227.952142851,8571039.05510006 
 03/24  04:00:00,12016526.21993679,12016526.219936788,8835677.00162233 
 03/24  05:00:00,13362110.605913946,13362110.605913945,8426647.302067876 
 03/24  06:00:00,16947750.91077039,16947750.91077039,9381021.085261172 
 03/24  07:00:00,13241772.597413376,13241772.597413376,9489963.24832419 
 03/24  08:00:00,12994410.900399085,12994410.900399085,8938559.841312472 
 03/24  09:00:00,11907959.847170057,11907959.847170057,8407287.416870978 
 03/24  10:00:00,11992371.315543223,11992371.315543223,9324273.284496522 
 03/24  11:00:00,11023747.667225402,11023747.667225402,9317889.17478792 
 03/24  12:00:00,10327510.328669738,10327510.328669736,9853208.417915512 
 03/24  13:00:00,10572133.601980334,10572133.601980334,10368831.048825989 
 03/24  14:00:00,8907441.611752048,8907441.611752048,9257618.279733583 
 03/24  15:00:00,10975465.418428421,10975465.418428421,9178832.168787235 
 03/24  16:00:00,10805781.57667415,10805781.576674148,8699917.064578936 
 03/24  17:00:00,13773662.894220103,13773662.894220103,8175555.125868956 
 03/24  18:00:00,14078126.788779095,14078126.788779095,8118181.714740777 
 03/24  19:00:00,19433440.25066806,19433440.25066806,7998639.894754864 
 03/24  20:00:00,19251600.34721329,19251600.34721329,8546655.320942134 
 03/24  21:00:00,17748637.760530174,17748637.760530174,8728903.430752896 
 03/24  22:00:00,15893141.800808169,15893141.80080817,9347550.449475229 
 03/24  23:00:00,14173287.620154127,14173287.620154127,10115600.12776496 
 03/24  24:00:00,12251056.152591597,12251056.152591595,10276247.311898816 
 03/25  01:00:00,12095871.874062268,12095871.874062268,10655103.05469413 
 03/25  02:00:00,11184254.56467449,11184254.564674487,11641930.43564424 
 03/25  03:00:00,12007842.05157896,12007842.051578958,11532296.574082248 
 03/25  04:00:00,11291702.456432095,11291702.456432095,11959456.94330889 
 03/25  05:00:00,13553822.077328153,13553822.077328153,12441011.369766835 
 03/25  06:00:00,18074012.458427552,18074012.458427552,12739821.639570884 
 03/25  07:00:00,13416121.606906516,13416121.606906515,13155810.657670112 
 03/25  08:00:00,13163508.334872667,13163508.334872667,12495114.393723927 
 03/25  09:00:00,11932968.45528576,11932968.455285758,8949971.760711456 
 03/25  10:00:00,11850077.885847801,11850077.885847803,6351467.7444279995 
 03/25  11:00:00,10102580.400935756,10102580.400935756,5445103.452434654 
 03/25  12:00:00,10597922.595960306,10597922.595960306,6024458.470226142 
 03/25  13:00:00,9634062.938913457,9634062.938913457,4162183.707890442 
 03/25  14:00:00,9476077.983350057,9476077.983350057,2122004.6943134894 
 03/25  15:00:00,9642081.839425769,9642081.839425767,441278.0740125367 
 03/25  16:00:00,11412304.120747175,11412304.120747175,2064324.0454087593 
 03/25  17:00:00,12439519.385245001,12439519.385245001,0.0 
 03/25  18:00:00,14646893.47907436,14646893.479074359,0.0 
 03/25  19:00:00,19139165.29940828,19139165.299408276,1849584.0944838652 
 03/25  20:00:00,18050702.072991285,18050702.072991285,3205879.865599051 
 03/25  21:00:00,17538816.44100925,17538816.44100925,4324174.675376941 
 03/25  22:00:00,16630910.81372443,16630910.81372443,5493990.420712505 
 03/25  23:00:00,13993725.236850068,13993725.236850068,6357458.343609203 
 03/25  24:00:00,12076060.836908236,12076060.836908236,6611551.199186159 
 03/26  01:00:00,11062584.844222495,11062584.844222495,7319076.062771596 
 03/26  02:00:00,11869030.894413255,11869030.894413251,7737701.97215548 
 03/26  03:00:00,10963134.421543783,10963134.421543783,7898972.352778364 
 03/26  04:00:00,11948171.375104535,11948171.375104535,7404344.634112942 
 03/26  05:00:00,13324928.898904663,13324928.898904663,7650426.593193485 
 03/26  06:00:00,15401547.999877032,15401547.99987703,8145605.603383122 
 03/26  07:00:00,13146998.131834961,13146998.131834961,7539878.266084261 
 03/26  08:00:00,12787157.948164254,12787157.948164253,4632379.0437330995 
 03/26  09:00:00,11578619.615344806,11578619.615344806,1535563.9231345751 
 03/26  10:00:00,11546143.552504484,11546143.552504485,0.0 
 03/26  11:00:00,10577740.740405954,10577740.740405953,0.0 
 03/26  12:00:00,9580043.385034658,9580043.385034658,0.0 
 03/26  13:00:00,10350419.033490337,10350419.033490337,0.0 
 03/26  14:00:00,8464827.381414015,8464827.381414015,0.0 
 03/26  15:00:00,10019403.823867861,10019403.823867861,0.0 
 03/26  16:00:00,10910563.56237574,10910563.56237574,0.0 
 03/26  17:00:00,13381099.429061908,13381099.429061908,0.0 
 03/26  18:00:00,13687525.296549654,13687525.296549654,0.0 
 03/26  19:00:00,19049472.05970308,19049472.05970308,0.0 
 03/26  20:00:00,18841902.686224587,18841902.686224587,0.0 
 03/26  21:00:00,17330336.540943854,17330336.540943854,0.0 
 03/26  22:00:00,15453662.36748485,15453662.367484849,145068.0496046071 
 03/26  23:00:00,13818857.791871496,13818857.791871494,2700997.2424168857 
 03/26  24:00:00,11919067.573998451,11919067.573998451,3325026.3623264595 
 03/27  01:00:00,11740948.236789398,11740948.236789398,3222747.764384687 
 03/27  02:00:00,10829866.57684245,10829866.57684245,4220734.89003458 
 03/27  03:00:00,10872068.402324328,10872068.402324326,5991969.972923111 
 03/27  04:00:00,11944747.399256488,11944747.399256488,7332509.151977219 
 03/27  05:00:00,13376421.718655003,13376421.718655001,8724683.592511432 
 03/27  06:00:00,16430092.184758116,16430092.184758116,9463843.521381767 
 03/27  07:00:00,13183938.915548269,13183938.915548269,8344545.7703817785 
 03/27  08:00:00,11936680.410065327,11936680.410065327,7115111.042004925 
 03/27  09:00:00,12446768.704817444,12446768.704817444,7424193.658486761 
 03/27  10:00:00,11326099.101332102,11326099.101332102,7599026.427842381 
 03/27  11:00:00,10844346.909613244,10844346.90961324,5572396.677582565 
 03/27  12:00:00,10852943.138696518,10852943.138696518,7345518.723936103 
