Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 02/19  22:00:00,164639809.96510497,164639809.96510497,188481387.09930742 
 02/19  23:00:00,104743810.83438937,104743810.83438937,175276707.03124064 
 02/19  24:00:00,65170341.41212645,65170341.41212647,162996836.80339345 
 02/20  01:00:00,54583087.518954635,54583087.518954635,90242869.37439618 
 02/20  02:00:00,22994663.15880189,22994663.15880189,9928834.732080001 
 02/20  03:00:00,28581303.359104626,28581303.359104626,13187284.09812 
 02/20  04:00:00,22901045.91598502,22901045.91598502,9928834.732080001 
 02/20  05:00:00,49388605.265949175,49388605.265949175,19704182.8302 
 02/20  06:00:00,103667139.03944619,103667139.03944619,174172156.42334464 
 02/20  07:00:00,118105275.97470209,118105275.97470209,172472020.20893133 
 02/20  08:00:00,135998623.78197616,135998623.78197616,238854279.09910142 
 02/20  09:00:00,152798466.47958302,152798466.47958302,211884516.377295 
 02/20  10:00:00,166588138.5370451,166588138.5370451,172730121.7893238 
 02/20  11:00:00,196637348.66218168,196637348.66218174,165751259.94031325 
 02/20  12:00:00,217435704.3081356,217435704.30813563,159616078.79572147 
 02/20  13:00:00,201984652.79990947,201984652.7999095,140415717.05636966 
 02/20  14:00:00,189129001.23396394,189129001.23396397,132362861.56954668 
 02/20  15:00:00,176068857.42628324,176068857.42628327,115210685.97032131 
 02/20  16:00:00,175988619.8520248,175988619.8520248,119035203.07681164 
 02/20  17:00:00,193364564.86713064,193364564.86713064,133019840.93259436 
 02/20  18:00:00,201769886.3078473,201769886.30784738,146978155.23924795 
 02/20  19:00:00,198280296.35052562,198280296.35052565,171256175.84054133 
 02/20  20:00:00,188438520.36795753,188438520.36795756,169208573.6724036 
 02/20  21:00:00,174379030.3697369,174379030.3697369,161329120.91378418 
 02/20  22:00:00,164516080.56090182,164516080.56090182,191726607.22823375 
 02/20  23:00:00,104898787.66667633,104898787.66667633,185382629.63655025 
 02/20  24:00:00,65516808.41507308,65516808.41507308,168631500.27606276 
 02/21  01:00:00,54364101.60466194,54364101.60466195,91536055.37462462 
 02/21  02:00:00,23157471.65779999,23157471.65779999,9928834.732080001 
 02/21  03:00:00,28548893.31458672,28548893.31458672,13187284.09812 
 02/21  04:00:00,22867372.42338747,22867372.423387468,9928834.732080001 
 02/21  05:00:00,52302934.28679387,52302934.28679387,19704182.8302 
 02/21  06:00:00,105020698.39472216,105020698.39472216,173316929.1224493 
 02/21  07:00:00,118750775.94776036,118750775.94776036,178811764.7172811 
 02/21  08:00:00,135476741.42060438,135476741.4206044,234322566.66356072 
 02/21  09:00:00,152521218.77689612,152521218.77689612,205647494.00010467 
 02/21  10:00:00,166730104.32256445,166730104.32256448,177321432.34527308 
 02/21  11:00:00,196615834.73011774,196615834.73011777,167970839.9295178 
 02/21  12:00:00,217441194.1256893,217441194.12568933,160743381.66072947 
 02/21  13:00:00,202048997.4133777,202048997.4133777,140417916.01616538 
 02/21  14:00:00,189110120.36715055,189110120.3671506,132359180.21821454 
 02/21  15:00:00,176072179.59027413,176072179.59027416,115204166.95301762 
 02/21  16:00:00,176119332.34751403,176119332.34751406,119722803.97567938 
 02/21  17:00:00,193463043.02630863,193463043.02630863,129602591.61065283 
 02/21  18:00:00,201704442.50213853,201704442.50213856,137072429.6833354 
 02/21  19:00:00,197948265.27524763,197948265.27524766,157416134.3035721 
 02/21  20:00:00,187766785.9183255,187766785.91832554,153829722.43012258 
 02/21  21:00:00,173352414.81202585,173352414.81202585,132969352.78674546 
 02/21  22:00:00,163591810.68568712,163591810.68568715,159425806.6724857 
 02/21  23:00:00,104139209.2853922,104139209.2853922,144618947.23302168 
 02/21  24:00:00,64944809.975492135,64944809.975492135,138417894.95061404 
 02/22  01:00:00,54940937.47086291,54940937.4708629,80328951.29450034 
 02/22  02:00:00,23000353.78347323,23000353.78347323,9928834.732080001 
 02/22  03:00:00,28583587.347124714,28583587.347124714,13187284.09812 
 02/22  04:00:00,22895591.969558924,22895591.969558924,9928834.732080001 
 02/22  05:00:00,49441578.17531189,49441578.175311886,19704182.8302 
 02/22  06:00:00,102447901.14745104,102447901.14745104,193413570.9439538 
 02/22  07:00:00,115789418.39475286,115789418.39475286,187548020.5056987 
 02/22  08:00:00,122074069.18743472,122074069.18743473,161701724.80429855 
 02/22  09:00:00,141260232.81105256,141260232.8110526,132862209.15595728 
 02/22  10:00:00,167387566.01644707,167387566.01644707,154708139.22578466 
 02/22  11:00:00,196766534.29942524,196766534.29942524,159990943.16829902 
