Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 09/04  19:00:00,158360854.10482994,158360854.10482997,136899051.99267057 
 09/04  20:00:00,144196081.63568106,144196081.63568106,117504413.82182711 
 09/04  21:00:00,126603194.4261539,126603194.4261539,122233160.51064052 
 09/04  22:00:00,79281438.8758673,79281438.87586732,80439856.78690667 
 09/04  23:00:00,49848852.64646548,49848852.64646548,39258122.528598145 
 09/04  24:00:00,40680988.0272476,40680988.02724759,30120477.67251617 
 09/05  01:00:00,17687393.302621774,17687393.302621774,9928834.732080001 
 09/05  02:00:00,20406073.80317107,20406073.80317107,13187284.09812 
 09/05  03:00:00,19448592.238045618,19448592.238045618,9928834.732080001 
 09/05  04:00:00,33370034.29671407,33370034.29671407,19704182.8302 
 09/05  05:00:00,61247672.51980468,61247672.51980468,42513328.39248 
 09/05  06:00:00,71615823.58566953,71615823.58566953,54095265.30303859 
 09/05  07:00:00,85380294.51794177,85380294.51794177,113991172.23583007 
 09/05  08:00:00,94694627.12325628,94694627.12325628,112263331.83974916 
 09/05  09:00:00,102579317.72265966,102579317.72265968,119573836.5223541 
 09/05  10:00:00,124805389.4564232,124805389.45642322,134664794.789709 
 09/05  11:00:00,150411420.14780152,150411420.14780152,144807123.0571159 
 09/05  12:00:00,150083057.51206648,150083057.51206645,129343743.05484247 
 09/05  13:00:00,146579059.6553824,146579059.6553824,121212011.26880692 
 09/05  14:00:00,139768856.6153193,139768856.61531934,104988541.8610104 
 09/05  15:00:00,138914788.23342124,138914788.23342124,113835306.97193599 
 09/05  16:00:00,148422701.8823173,148422701.88231733,114740361.50524744 
 09/05  17:00:00,153052377.95028815,153052377.95028815,133648560.10634981 
 09/05  18:00:00,150810035.56655607,150810035.56655607,132790858.5675177 
 09/05  19:00:00,148094640.5083233,148094640.50832334,136906730.83821073 
 09/05  20:00:00,133532031.35201564,133532031.35201567,127329933.07996263 
 09/05  21:00:00,117393035.50333449,117393035.50333449,112222835.5962495 
 09/05  22:00:00,74933500.08575284,74933500.08575284,80472802.27728662 
 09/05  23:00:00,49555333.83729084,49555333.83729084,39244491.53461463 
 09/05  24:00:00,40670852.7028169,40670852.7028169,36711712.758944176 
 09/06  01:00:00,17525349.724854156,17525349.724854156,11689971.021123536 
 09/06  02:00:00,20286042.130138814,20286042.13013881,13187284.09812 
 09/06  03:00:00,19212386.945539936,19212386.94553994,9928834.732080001 
 09/06  04:00:00,36336772.481722094,36336772.481722094,19704182.8302 
 09/06  05:00:00,62633775.07486959,62633775.07486959,42513328.39248 
 09/06  06:00:00,71775858.67202881,71775858.67202881,45771777.75852001 
 09/06  07:00:00,85317241.14388976,85317241.14388978,113865957.0072609 
 09/06  08:00:00,107061437.09693849,107061437.0969385,122330146.79341389 
 09/06  09:00:00,127499115.3964019,127499115.3964019,119559895.2962873 
 09/06  10:00:00,148450848.91522548,148450848.91522548,125353547.6032683 
 09/06  11:00:00,170565499.11061782,170565499.11061782,145577047.6603773 
 09/06  12:00:00,166339483.03149185,166339483.03149185,129699640.74251598 
 09/06  13:00:00,161447347.64291772,161447347.6429177,120191931.26985466 
 09/06  14:00:00,151066549.27926672,151066549.27926672,113850533.9256911 
 09/06  15:00:00,149701981.95711178,149701981.95711178,104974397.08484751 
 09/06  16:00:00,159287868.4080098,159287868.4080098,123623036.33499277 
 09/06  17:00:00,161202519.11872208,161202519.11872208,125303918.33856297 
 09/06  18:00:00,156962114.91218972,156962114.91218975,141780135.40426558 
 09/06  19:00:00,155603883.71033436,155603883.7103344,136938028.92185912 
 09/06  20:00:00,142391759.92089394,142391759.92089397,117516305.57747889 
 09/06  21:00:00,129733836.94619381,129733836.94619383,122268350.39301023 
 09/06  22:00:00,86646403.31658502,86646403.316585,80458192.09711598 
 09/06  23:00:00,50681954.59853037,50681954.59853037,39197404.51549734 
 09/06  24:00:00,41397009.82942407,41397009.82942406,30142079.476001628 
 09/07  01:00:00,17875846.916588474,17875846.916588474,9928834.732080001 
 09/07  02:00:00,20497866.93275581,20497866.93275581,13187284.09812 
 09/07  03:00:00,19641594.9143419,19641594.9143419,9928834.732080001 
 09/07  04:00:00,33634920.70720758,33634920.70720758,19704182.8302 
 09/07  05:00:00,59689717.681534484,59689717.681534484,42513328.39248 
 09/07  06:00:00,69410130.3959117,69410130.3959117,45771777.75852001 
 09/07  07:00:00,72111844.05202553,72111844.05202554,68860956.00290154 
 09/07  08:00:00,92899214.57760829,92899214.57760829,78661300.98076782 
 09/07  09:00:00,122851352.52954885,122851352.52954885,120635290.28047629 
 09/07  10:00:00,145272647.11695227,145272647.11695227,135842551.3384063 
 09/07  11:00:00,165996818.14635554,165996818.14635554,146814141.7781605 
 09/07  12:00:00,160824528.84456325,160824528.84456328,150101929.31938595 
 09/07  13:00:00,154749697.61753118,154749697.61753118,128534705.20694351 
 09/07  14:00:00,147226460.3332615,147226460.3332615,119530634.44534057 
 09/07  15:00:00,146333952.87710798,146333952.87710798,115589866.4730807 
 09/07  16:00:00,152922203.86908594,152922203.86908597,124490683.7607704 
 09/07  17:00:00,152698591.5546664,152698591.55466637,134648363.4993368 
